p_code,cr,name,link,price,cate1,cate2,cate3,cate4
201072,1,테이트 남여공용 베이직 터틀넥 3종 KA8W9-MSP010 MSP020 USP010,https://cr.shopping.naver.com/adcr.nhn?x=7pGpBFjd7DlbU%2FQPDSKZGf%2F%2F%2Fw%3D%3DsTQ0J8cszrasU5O%2BpSzVP6MdvKwYit9GNyXkWsegiIc%2FWW1uLAhVegKxEdxYvMhIBdbLjYEPJ1djxy7xo6BR4XBII5IcMGRVM0iwcs8Tmxly3jPn%2F0srx8Vt%2FjQFnU6U%2BWrdDACVyHzkmQ5%2F5rl4orzxxHJLGdt40xrh05tJQT2PLCQB6XBKnFGVXsriiNBFPSACfyUPb7GuBuWsGpjA91fCb%2FiK8uktQMqJulQ8bSSCXuy%2BwmUawi5n4VK592cU3DzG3QsqY2TZleQoAc67sdvNe%2Bz8uUgOW5Gb8m8Cs8vuVgoDUpkAoU90LAKRXCmbDmLHMiaL%2Bode4D2iCsnaAg1fIX7rg4tHxgwgwWZQ1FvO1FM5%2FIywnj%2FmZx1w%2BI6LL0KXoP%2Be7JF9u94M2wDKi0lDMgCyTLaomB%2FAcbSCw4ebhb%2FuwK2QK2FV6cXU52ZeIkiA3YtRekhXb1oqaCayZOd77YXaKcq3VYKf3vU3JMjdIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqid4Ur3qZgUQjZ3lrS8z6hPtFETWSrEiVRtKT6w7eUpiUSo0adg%2FaZAYXCXaj0Al5EzRCJ8yucjHxkaCn%2FV9mKSoB4GRllbnFFvikWr4gZ3bKC0r%2BUmM4rOUlXYgQF%2BmvERosr2gwwmZipHzmhuHGdzpot%2FrYtc5iOXpPY8BO5tbGbBIhyd9kqi3mRxi8YucDUsQklqNBnsXqCJd1P2PxYpujriJ8H0NV5nx9%2BVr0aUV22PySrsFvmTlEdff7zXa7RhX1cscKdvRckancI91smdS%2FhgaMkJIhbUi8HFdPXAb344G0nN3S7rrfityDC6DxFvut3%2FrkmIe7Z9c8zPPx%2FukOEsHC78VBLnFZh%2FnDobeN&nvMid=23785444430&catId=50000831,7310원,패션의류,남성의류,니트/스웨터,
201079,1,테이트 여성 19FW 헤어리 폭스블렌디드 니트 3종,https://cr.shopping.naver.com/adcr.nhn?x=3ZVe2dy9vJ%2FfhitD5ynM%2F%2F%2F%2F%2Fw%3D%3DsAt2SJalwSfYKFMd4I2jrwmmgpOE2hxeElxq7LfbowHrRf9tM5fly1%2Fm22SEggpbp9Z%2FscdbrgiC7yMBP0syh2RII5IcMGRVM0iwcs8TmxlywrF17IYDQIqrxN8Z2uSTfyzKZYA3K%2B9lA%2B0DTR6BdkORkVk3HLRxx8bG7Cc%2Bcqwqo2vLiO29aWdqiw6X2N%2FpJL5jFwDFCegKdTHeOMiI4gtwB1kOFxQ1CFh%2Fhnue79cbXqOQm68ipmQjyM9uzVeSrU15cnp22MFLZv2QNIeHQQJOJqTU5PBpNOKm%2BtqazAM5n5D6b9hR3mFEiutbiq4ZpWDuAJuqZbGlx0juudI9chT9rXyqENDUD8omnd%2BAEOivf3Vb8LXDlJWzaxi1N0VJ66J5Q19lwveTo1PbjZm0A0ftiwiGyg4B%2BYIuJGNDWbbYVe9xSpR1fzPGAxMNa4xZ4RfAJoxmTWajM50yqSwvOKe1Igl%2FxEhjJ1CXn4S1QO08dqzzwMnoBAbhIICT5Zxsd%2ByMaLNcPmAVzXcnT%2BBi%2F6d9yASOaBg3bwJRUPPSnM18yogdG7U%2B9JUY%2B9uNI6vi8ImdSdWW9vpu1KrLzscBRQJF6GdoG1HrP0hxdDop%2Bj8EugiDh5S8n%2B7Rc0MeNuzgdt7AZhf1zfovAQm%2BedPtDHfK%2BzY6sgw6M%2BOw1L3slBGfHICEQpPL7Rm%2B2fyhjEhHR&nvMid=21490804444&catId=50000805,37110원,패션의류,여성의류,니트/스웨터,
200974,1,[BH0428] 신품 삼각컵 브라 쁘띠파운데이션삼중지내의 여성감 소녀레이스 노와이어 얇은,https://cr.shopping.naver.com/adcr.nhn?x=mKZYNJ42Q0PwENVzEV81WP%2F%2F%2Fw%3D%3Dso02Xt15agB4WVoCikXf%2FGXAaIScct1bjFX6Hs1TPY1YJbiggtxkmsr9AtLwvh6SG%2Fg%2FipIWC57vNhxWVvD1n9gWZctSdQjp9i2aIAkEo3Mm6nAfwNO7mVLOjKGJUFJj2B%2BZHov6tqN6d1vw8WX48SaQeFTIbKLT%2FdVX5ipR9ae0CHA2ashql7rB63hC8VSLU04Xf0rtSuTX7wr%2BhUHQxN%2FrFCkRDXOYKTjlHkw%2BH%2FWkPwdOuwGUEkNNrvNGoLr88eN0Mz4LJinAEk%2FOlggKXgEi2XrDHIr1taChuBS3Jj4vezfWNXaL4gCjo2tuvgFYJglHqBXTSBihlpd3p15ah04BsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9gmVpczxruyeuQyVDz7yaV%2FwngPtp%2FPn%2Br%2F0y6Ao0xYuEi6GZT9gUjZsdDyPUybYpUpxNoP5g%2FA1Bm3oKHcxnwRWXIUMKr5lUUTm8kfHdxQEz05weJQz%2BjN37oXiQRWrtgEupqFvjzx92neSkmkclT6iRPcVZj%2Fuf3IMUTvTNZJmqPAb72IOQTlRFutHNiXBopu4otdfK%2BZRQiE473puYjGU0bifqY09KY580Q8GEMzJz0od3Om2usf%2FhCjP1FVWJabnYUU5z%2BnhXkXGB%2F4JuNI9Ha70DcJ2%2BTVgcQTZ9Tn2n8Q9UWDKA9TnwG2aiOYtR6aYqcQYBqDUJ1OBkiFU5IjS1ayQmGqDjLWmFOTRXLf0KD6FhB9pB%2BvPFBK9CoJpxQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=23751463130&catId=50000823,26260원,패션의류,여성언더웨어/잠옷,브라,
202377,1,"CERINI by PAT 소프트 기모 릴렉스 팬츠 3종 (블랙,네이비,그레이)",https://cr.shopping.naver.com/adcr.nhn?x=6R5nd9KLFZsJx%2FLoQOvpZv%2F%2F%2Fw%3D%3DsixoiYiN44DbrBGxrozIigY6%2BNLOrh%2B9836RkClRS8pAXfVeFV63hSDYeiBX7Db4%2BQy%2BAK4Ehjw0PJnGR%2F1gZsqP927n74gcXlM5HL9%2BW%2BuS7Uqv6vRGRRcpb%2FDdS1WzaRXEyELN91w6qk1v0dw0CRfrMQrGAXe%2BtmbM1tGeHOGIbvsdCIFqlL8KYrhu6ei9h0I9CSnaDJtdobnLjOzdlEKxUTfizNciQK%2B%2FJMo5kHrlWrxaEGYqB0DQc4FejQVgOWj%2BUcIn4oJlrN74Y%2B66XhXq3mIlBsdsVSqBRIUWhiltYO4Am6plsaXHSO650j1yFP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnp%2B2AInPd%2Fv1AhfgbVFz7RmsPOdnFbC17pJKetxzhD7uWbT0ZXzAuvgoZzm7y2%2Bb8OZ%2FgizLCdv7QGCbiWONdCixEvSL1yrAlRZx9fG2ix0dcxz5%2FtYqD23RccYqMUaty3GMzZAOH44WIPnRmuRbxHTtC3AnBsJXnKYK0UhegnVmJxZtFGByRMMDUESssmBjP6AdnNMWwf24HlS5TEz3z2KbLVLt1PNGG6%2BhHRAMOpJt9S86X%2FDtEVFLvCq2cGaGpnmELFO07QEQYUyi%2Bk709RTUluonHmhHUBRTGEfBON%2B%2FJ0IgLTl2VKs%2F%2F5Zz9Ip9rWsDF%2F9cPiT7F35RxFKEjQChWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=82282887149&catId=50000836,58900원,패션의류,남성의류,바지,
202404,1,더아이잗 리버시블 롱 무스탕 ik9a3fs04,https://cr.shopping.naver.com/adcr.nhn?x=IoJ21%2FGiA0S25ZyeYA8L%2Fv%2F%2F%2Fw%3D%3DsLWfZR76ZJVJPLhoAwZVBiNRRi6M4Ah5HHpd7gaFhKEwUHsO9DXw%2FsmDxpoOwJWFWSKMybB29XbCr7Dfuc3FoXeh5xWuMpKU1NBdx2VIyL1c5zAEko9M%2F5cmO7kFatXirG3iERovULhHGsDoxs0aE%2BMbe%2BN0rX91sx6h4kkm4GuLFLINjmSfX7OabINrP0XUPw6ZjbtkbN7RD61dGUzg7G7U1aDytG54YGQFRDKvzYJzeCwCak9xcCp8QPAUAyzIKKVF9sb82%2FMCorsIh0uOdAcDYBuIum4N72Ig88nlOMRyaLL7OvmLqnP7JmET46d5sXUdsfDkHwZGiKu%2Fz9vABmnr2c8qe9OROYniiNVEgrUjjvwNMsDrlfZEHS4ziCZZdJU7OrBEiA%2B1dAY4i2rCh84%2B2ieLCpabUon48S7ANTQDj1cMfq6wHn2Wu23M%2BsZaG3vthdopyrdVgp%2Fe9TckyN0gAn8lD2%2BxrgblrBqYwPdWKx7G3krbJiQXzryuwwOqJTRvRNobYNxgjrHt%2B%2Bgj%2BoN8zXiP7PSwOdrTJEy866s1XfqiCwBtPYYwEdSt6i2JAsD7mecGKTPjVUUpm4pHaGMr7Je6eb1MgBgi3Ag07ojCw8593OR%2Br4qxUoJ1uSinaBGKfW9pVpKDgYyEMdlUw5Xp29Rc1GYbk06xBlm9uIhAbLWENodCTrRdFm6bStxMNoQZ2pXKT5WcUQY3RuD%2BTvkrU1MPDwojoTgZalU8rR5YRpOFzCbaM6OU97uoPifjri7jr0QmICj5NYDdKXRap7fJ%2BiQGgBNXi3kOnxOi0dNHNjqh%2FZemCCOboDhnweAmG&nvMid=23079585859&catId=50000813,64860원,패션의류,여성의류,코트,
202395,1,19FW CERINI by PAT 기모니트 풀 패키지3종,https://cr.shopping.naver.com/adcr.nhn?x=hOGWmJY1MIhQivaaB5tPO%2F%2F%2F%2Fw%3D%3Dsm9WVNSJ5222vFH7d9wcH%2B4DV4wORc9L0ub02lE%2Bf7fOpGGpg8Ix6LPho7SUqJIybOJHINa%2FuZDgvAnvyeoewHVVuboSYUBC%2BGrShIkHubgRSd03ufwWelrQ5BRWD19sSP4eEEmcdI8%2BwqepvrQyEf3trCkhOq2SrShDOLurLoOTABgdAlhxlJ5ZRYTZP7GMXMHBYLzw1R2zjhFGjbqI8NEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27d2v34PN%2BuN2btA2nCkECaRhqwn3LhfbOciUpURT0v5G9ZeoY%2BjhuG%2BNjkrrrFrw0GXGxn4oKUHHudyLOEQGiKE1ObfVLodkg3Gr4cGy%2BcpQnRqIRx26B2fmj1U8JlwHjYTBHRGSXzsGuIwaT2CPqd3cIaQehTn2oZBaB0hm08f7OqVZx2r4%2FhQNhEqAWn%2FWjQvwghwrD%2Fy4UMWEPvk7SBrvt7SAHVu7WxcLhuxfZg6tU60u3zHyoLPTlML9PnNRsLeMp9MbmIt4vDfExyb11BvONOhFUSCdw7rDGwtpH%2BtxjI50HZy%2FcLV2dSyPQS0HhEIZJB1yuP5kkcuYnGBP9uwVt%2Bq%2BEGbIURH4Pt76u0TZe1coIEKG36IQfABr5qe4N1EL7PBh6vo%2Bzr1Db8r4ssQjuJI3SOaR5kAly5OPoNxHt6btFY0evNvIXPj%2FY2%2B38BHS7iYdd4BTrgASNQmm8sBwwKTBqrTU%2FR22AglGyc9UNJMub2KidUL903ECxOs6IMFg01FPBxkrerp5UFc%2FiWta4maMHaSxw%2F0l%2BiiSP1VDung7GDTsq0EpiSpTAmtyVePLfHjYvSxMzU4%2FgnjJ31IgN%2F1NgM4LgvOAJ6Euy6vm2AvA4j304hH7xk9clVkF4OHl2tAXQNrQUAnpcVNWSGOR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=21320032860&catId=50000831,57590원,패션의류,남성의류,니트/스웨터,
201999,1,(크로커다일) 더 편안한 코튼 브라팬티 4세트 + 이너쇼츠 2종,https://cr.shopping.naver.com/adcr.nhn?x=repIJxjHd5MNohGbUl9xSf%2F%2F%2Fw%3D%3DsH1oZWSxOb0TXkqdHKZzyFcA9xBxuI1%2FRyU8ZahcvblzQHn1jFnsWT3BazvzxFd%2BHbUvOp%2FYlqkFYEzWc9dYzO8bE809p%2FFuwa94xnkvvNE1QJVx1MgQB%2BCZry3ZjbOnbE56%2BhpndV82I99Zofunmlvj67MHmsuiH2kyPak5YSf%2BCy1DZrDFonzPtyWtnRDTww8b38L0cnYweC7SvkE%2F%2BLFBuABCSBAlXNhQr5ACRiUhDD%2FpfgggmEvS6YhaclByi4pItXJiA4Fip%2FssX4GrJN6ruwNRNMDugGThqRWRYmi6sc7iohxRdoxRoNHuGNVhVmDqf8HuC1r7OpsEFwRP2bvx3wy6bYVVeJRWCKK%2FFVPXNPIoDgxDw18HJAbufxsKjRBwDBCoVwzqXJQLtXnIxBoJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FQhO3L50JUwQ0xCrzjfr2qh9JdfNZmKxGoOqsGX9ra3vC5cvxJdyneLipGM5gFoWDE5fsYMV1CaK9shZJVefjHtPAHijYVgRYT%2B0afYSEKi7OmsE5x0TJbbCcmUEzNPawayhVW0KgITi5xv%2B80%2Fn45KoT14KnUuPWP2vwMwb2vkfrAVZsL1M61%2BBmtIV6yAW6dMfKURkrBWTdQel2KN%2BrDl42hW40xxsV%2FV%2Bi2o38JFVav6%2BvNtdUkQ2UZxk%2Fiup3ZmBhHFW5LLjrNPnswPXUXVXvb2tazWpeNBG2qa0VPecYD4cZdoqaRbd%2BHmH7COGMsvsfnHuRzXdISqKg2XYhloGruH08DlKshetxY8KUEZb&nvMid=21128723479&catId=50000825,58510원,패션의류,여성언더웨어/잠옷,브라팬티세트,
200236,1,드림셰프 에코라믹 통주물 스톤 냄비 세트 4종,https://cr.shopping.naver.com/adcr.nhn?x=qxQD4dVy8ecz4zSNQE08%2Ff%2F%2F%2Fw%3D%3DseplzF4LUbtSS2c%2BaAczku3QfjRutLZ9z5p07n0NKZjAkNVE8dywdm16SbsLu4wA93KmPDd5Oyhv0GxnZcUmJKNj321EwoEihGcu%2BhgEoyJxGpceK44Mda7PjUKEY7An6NuyACs37nFYzPrZ%2Btfol%2F1cN9RewgTsZfICsorkBtKdD4%2BlC%2BcrhR73fcnsXIsx6FMrTQC0sUFLt7%2Bu%2FTbc%2FFLngnxQ7ssMZd09T0OjyjIxxr6gpemChXZVNqNA9FOKwUnOEcyXy661FLHldd5jVNJzHTJpBDg58jmAPzkE3JleWbHN0T4pv7HftPHdursCfEtiaQAdJivsechZRRumtqlgstVUhXQRSI7VPNQp9a0aTqCCe7xhyJceGB%2FvDJuEcAY7qGKY9LDKSuNvuCmneJukMYBtWJoyka2IZEGs7QMElX1QNHnCHfHXwST8FQ%2FWU3klQgC%2FOhrqvPQaOtK3mQa3RrP4ulRXTmAU%2BaFKDo06iny1bqzlzXkJ8mmQyrBUTM4yccm5dKbIq%2FpH8qmkWdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSess%2FB3xQYUsPLs016yVAVMtQvCL0vjT7BDyew%2BppTYv%2BO3WVzjHXoiXlVn3cCtM%2FfTAMCengjENbHONn1lu0Zh5LXcv9Az4Jm6rquko58j6DX1AGuIa%2FEL7xZDa2mv%2BlCphSzAyvxP6j6L1CuP3yzEzeznVkO92yQzRwYR8vbVnGdfDUuSEOzfFS4uSWulv%2B5zJMbNLECSbOoPD7a7dELI5PwCXFJiRdosf3os3K%2FWn1qS6Vui9v0cxBnass%2B0sTONIukMEAKvGQPiu7fQnZ6AADfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=12301839423&catId=50004546,53080원,생활/건강,주방용품,냄비/솥,냄비세트
200970,1,비비안 스킨핏 2020 최신상 누디패키지 시즌2 텐션업,https://cr.shopping.naver.com/adcr.nhn?x=EajSqHegc1h0ZMg1L9KaPv%2F%2F%2Fw%3D%3Ds0yvLPbcRDQ8zAfoGoTL%2FOokjI6L0awdgHheBUHZjxlCdyo6Q9P%2Bs6JD1ZGxZsIGSJ4tru6U9JpLz4YadSHHmkfbnpzvPeOXtVgNvKtxbAhrJ9M3hEpvDQoXQ14b8F09ZSLp%2ByUxpLspUNcbmN0CRJI2G98gEGknVyebXxVOoQn1WA4JNDAkJt9z5d5CDe9co2h%2FqNbmMd3P9tE5jamCbKQnM1a8j%2BgYTwuVYmziEM%2BYvxhryGpg1YTxrGrxQWSiuQxIjVBR35vOBu9sZY7iMSZ7EL36MbFi8go6PXzRZuUquAkH%2BTYxZJx0bX1ADuU%2BabuM6OVAshJYGXQZi%2Fl0zpa3b1%2BFPt%2FFn85eJ5AQpPSblAn644eLIelYvjqFbfkpGsI3kN%2FFbgL4OnvwxpjT%2FRkS1e9LTvKKtb25INuG74C%2BS43y8dHEuga421QLHJY%2BLFBcFJaaJyuy0NAX2ieyMUulQwqQ3OS6cc0q%2B258qBO%2BbO9TaPdaw1X%2Fl1RUnGp19hmeWtJmvw8M90EK%2Bzy5a1yVdN3LpKf%2FbKuiZi7z1XJSwh%2BA4TVu5O3UqoAGDkZ5e%2B715EqQ2MM31o2YTkKpsd1w1k3kUXjomqDt8NY2PkJqtwVKGWF4zULel%2B%2B787wCxJfPsHIpoJqknWf%2Fyi%2BTv5xconPOavnHPxtITG5QVRoJUqqGS2hrZSyXyhfx97D9igEnzfrtx9hOuFtEXBB6tQu9Yav0TMi6Tk9V0GbhD3%2Bv3hUC992Pa9lDxInJnqrPBzl7GgXDTqZEERtBa%2BbwMRr8jAGPGS2zQhNIhu9%2BI3iHvW2q1ZBpuV%2F%2FvtKUgTGHnkr4jCIL8x2do773NAwpuJptOhe78b9KZ5odGlrVSoxhvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=22138216839&catId=50000825,102690원,패션의류,여성언더웨어/잠옷,브라팬티세트,
201220,1,그렉노먼 화이트구스다운 롱코트 - MEN,https://cr.shopping.naver.com/adcr.nhn?x=1PuzpsmrkM6eC1w4UDITpv%2F%2F%2Fw%3D%3DsCDCbfyYFY79vMJ2LnwjZd0p849Qi72u04iiEu%2F4hUfaWlSHOewCUNoTBXj0BJNscsIvqS05EwFnctduUcQsEw%2FbwfVvO1%2BZLo2H3%2BbODbEY4cZVo4VrKuQo8V5nWPW04sz7lHPmPMqx7BbyNIztg9yiy6pxOQ9aEdMqv4JElQgcst4roCkJnwLAGqSgFqJSh3IZpKv7R1G7ftbswwgHg0a2uTZhk0jtc9THDM9zjx33RXTKmeZoYFrkL%2FJ7CJAm3zN53okNqbtkxzUzarcjKz2uPhqFfAuvkqnq0ehmgWN4OcjX4DA5cBhM099cpciw1zlnhINP8e9JDfhqoxKs1YCX9gjE76l1IYnQ1V22h%2FY27LqpF0gGMDoaSfvIG1w7YCSXvsTzndzI1QwBvwJfZD4LAN0okWMlS8RhctUG2cu9beU%2FqyLEK8QlVzaCbvlf0XgOS%2BAHl6OEeOQn2%2BrcWwp1yfipemfVUYK5Wyfc5FjZWEXeXwSaubPu0qUaxQfPPa%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7sR2euECIlxS7LpGRSqEDEIULwi9L40%2BwQ8nsPqaU2L%2FtaZjXdS6JanibEOMgROWLKJPBffuJrChOyjBaw489bJS13L%2FQM%2BCZuq6rpKOfI%2BgwLbNwAsumgNbhtT8bZ1F4KE7%2F8QG7Moo7P6WSCj8bU9OPN4rcALEwyb0UrIqiQNlRBRlP6XVQLBcpmJ9lP%2BGlY%2BJgv0J%2BXSx0ZB5eb7msnWR6kYRksBrkfxw5XnU2b9Va2powcAmSPQMAleJgk1kJnJoAGWS2LJZ7WtqJEXIg2vuUWh24Yz2HodTME4AsgLbVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=13116232776&catId=50000837,68910원,패션의류,남성의류,점퍼,
