p_code,cr,name,link,price,cate1,cate2,cate3
201072,1,TATE 남성 캐시미어 블랜딩 니트3종,https://cr.shopping.naver.com/adcr.nhn?x=9RVsFMGSX2JF2nO%2FO1Wmrf%2F%2F%2Fw%3D%3DsXZT0G2AMOJhvx4vhKEXmmoYrkZKUmYICrEQtSEm%2FXz6dA4ocpZ6JauX8jpiXBJJKBi2VEX2mY%2FTydjQAvN9KyUlwheU1Th%2BGMQeZI%2F%2FwN0fY2r3lsISgmiZdZkpRpK8vYIDnNqvq%2BiUgOq%2B07Gf%2FWtYpY1J8q3IhdWVlPM%2BwHP1IQKHodrdEU0zullgPZz2mKD3K0iDPdDJNQ44qSl2f250yDHKO4N8niTb8EIzej5iM6nR0B7sZ7V2%2FOZNDq81ygxvTBCsJLi6NokAThnVGhmBybuySySurqodwiOdwQEYLsPSPjk6l81aP%2B6a1oWeTQ%2BD%2Fo9glb0ukJK6bM8miKArsK1DNlYuW6vX8WB7j4SlGaFNB%2FRQMNX7VDVvdnMzHCAGso%2FvEnvltJkOn1KaetJF5vdiy1pKokcNpmVNFhSzl56meOiB7UjvIklEKIuuJw0QxBPbD%2BU0xcExLqUmA3ggHs1P2sEgB1YZ53gCQZ6v3vr0o1nvQFnl1qvll0VfnPVMzM4L%2FzlBIW6Mg0KzfvyJUF0gie4HLz3S%2Bdp%2FUtR%2BRFBNVTdcHNVmdPN0Aodtj2geY8LIes7Kg%2FgmRPaeulUZ0ZvuBE4%2BhLZWkgE7ov7zyoJKmX5xxpU%2BtabuLpQmTPm2V2WLj0oLfvtXSAq9jPg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=22779850558&catId=50000831,68510원,패션의류,남성의류,니트/스웨터
201079,1,테이트 여성 19FW 헤어리 폭스블렌디드 니트 3종,https://cr.shopping.naver.com/adcr.nhn?x=LiUk2GSZXodKwPHjOYUqPf%2F%2F%2Fw%3D%3Ds2JCM0E4TGxtWe9u4lbJjjgU9XBSILkNT5bAX582McrV5bVzN%2Fgv3Bk%2FpBzf9oxGO4aVRWMh0AAwDxukpUKgEHEk3X9id2%2B18VL7XafRgek08sizarkb9kLTT1Dq7QbcMX8YJMARzUW6ean2CmnbhUXbTTcdYoNHELV%2Fkr5CLASYB1dI%2FDhSG%2FvBWNapgXn1CtvBTdDr%2BMV7Uazd6LvOw7IrsEfiQ%2BXbxh65c8iRwl1FcW4fiffQrhYGC1HuE33cwLBMZRIvcr5Ie18ndHkX68HvDOBzOPuqHhpjzzFBwUB5VvauWdmj63%2B89aoTsPHbny%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExjEeEOrSta1%2FhxVVR%2FrTNtg6y4JZ5zRo05mzN%2FDMyTdRLnItHbldaUt8fSAZYErbXS8%2B9yisePJ1G0NHF0HiK4Vbgl%2B6nysN7iylSTy%2BxBAoe%2FV03Sw4PezNSXQSp2Ew6H2QKy5Kz8tbc1tWJXk4Pk54sFWWE%2B2Hz1xhX9aIEuqjg%2BBModQqn7Wt9ElHK9Tp00VWgIY7JAOhk%2BnzAAZpUrMr%2Fru5TKiQNC%2FGrJaCzi2%2FtoHmPCyHrOyoP4JkT2nrpVGdGb7gROPoS2VpIBO6L%2B8MUfSvPLzWggxmRAwsLbv8NdUpF7z8QhS%2FTv6G3BE5FQNUJgJp6CUXauCvW7Y5AjN&nvMid=21490804444&catId=50000805,39110원,패션의류,여성의류,니트/스웨터
202377,1,[신세계TV쇼핑]Cerini by PAT 남성 소프트기모 릴랙스 팬츠 3종,https://cr.shopping.naver.com/adcr.nhn?x=IZE1JSuX4sh2llCbIkmg1v%2F%2F%2Fw%3D%3Ds0H770az9%2Btqcx27fGTqlrMAIv6OdG43l04U8elm7mtSWzFrFKnceN9nhF5CdWjBZC0GhOaMHstRAN2ohCCWCo8a5GIXPLj8FURx47%2BB3w3tAMaDf%2BXOeFYx0yLZkpXxBZ2IY9uuZTYfc5%2BTXJSuWmnoiB0CxiTi4%2BwFsxcxBJTFR7stWyj4pJ4stS3nLf4SqbdlxLRgYXi5dXSqZT8ds4weNSBwsAo2TCdtft6YkLT3UUS0JiC%2BQsc0fbaLaykwZe%2BD5W9e%2FdPkAMuxLU9IvPAT5yUibP9gx2q0c0nTF2IYlol1S1qUA9Yz9V%2B4Uq1uVhuJKSt1vAhvkux462x2%2FEvjlUIy074O61pxHsek2a0%2FIt9ELSj9ZgOwWGT6cXiS3NUJnit2TyE8yh3GxJ0fiPHE2wMA5ltmaFtM6KmeY0UYOyyOUDmvrIIHS4T2H7esJV36ogsAbT2GMBHUreotiQMpP5HNMxYVmaokwmwN8WDPRpKCD%2B0JdKLMpGEZepZtl5sMAfZme0nHNhEbA%2BQ3E%2FXCc115jzNXITbNyNHQhIAuhr6Vix%2BcnPYxc4Q3vgA5FMB2PoAt4qPDD7fqSGM6DdYrETGsnlpLKcTnu%2FDXYLQSSdHXZ6ZqSkOpF4Qvk966euIMtFoacKpD%2FUKhOIzFpPK3JFwoq3puxCUCq7ESAypFlNzdJFgkoR1MOL3Zb6EWFMqNOjg3qIbd9zOGMF2IOYLHi%2F7efI7ELynRCCJuU0Bnke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=21294468487&catId=50002801,56910원,스포츠/레저,골프,골프의류
202395,1,19FW CERINI by PAT 기모니트 풀 패키지3종,https://cr.shopping.naver.com/adcr.nhn?x=%2BdUHa6B%2F7vhw5jRC0Yiztf%2F%2F%2Fw%3D%3Ds8xJjf6nTVkmrN5HyY2DFtoDV4wORc9L0ub02lE%2Bf7fOWe2NRCZj1%2Bb%2FOr4TznOiPRAAdgWkHI7AJsCCBAdK%2BWhmQUerrZQ8Z4R2a6SNEsHNy2E7TuM3O38%2FEpLWfR0TzGLub3BNScspmIVlZSYPGoAkjgIrtsXQR3VkWXiONx3eAR9rs94%2Fmz98frcy3oOC7Z51b4zIIhzI2xYZuL9f9QD9rXyqENDUD8omnd%2BAEOivE1JfnQ64k%2FNZrCVNNWUrDBwe%2F7bW8JN8y4ZiOb1ab1ThsB2JDS6j%2BHqqt5yZFiU7DD2dQ%2FjReKNP5yhzcXjbYwb%2BMNFVvFfwr5PLXfYYreVHSIftTM9s3N%2BY52GPmbpXGOEPypBNsPiaoGlJRhhrYdinDM67rwytPSzES7BCnVZz1VyEljKeHFde%2BTZrlgTFGb8qWvq5TPgLYexI3ijnUafyfAo8RIH5poLwyrbaUim9t%2FJ%2BMV3Awn7tEPQOeWxdIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiUcE9iPuxH2M2gmANHLzb9wDPD58bcHU83d%2BDA2NkNoG9UEMwi63jafLIzwwY0rYsbmLoCqEmrmJlsIVH2o9d9owfBFXwxyFkL9bEXUj9jajRYgXT8U0rr2Dm%2BuxQGAQBkkrjBIMh4wYyXj%2BUb4Fid%2BqVic7Glxiy2HFj5RF6kytgugGhbkrZ2UHX4JLMJqUV19T4KoDZhG5av2gq%2FRJz4cfTGw4C2nUgggnooS%2FMP4O95CW7B4%2Bw%2BM5SgKShuyVgxLPHBVE1X9hF6ZkrnPWwISLnMk51ISI9jj9sscvSRTxqHGaIkNJYb0mxTnxgg5sTmhopkeKUdu5q4dSKA0zkoA%3D&nvMid=21320032860&catId=50000831,57600원,패션의류,남성의류,니트/스웨터
201999,1,크로커다일 코튼 쉐이핑 허그 브라 패키지 1차 (브라팬티 4세트),https://cr.shopping.naver.com/adcr.nhn?x=jxYOM3pNHuuTnx2QRS4vMP%2F%2F%2Fw%3D%3DsHmYURQRQ%2FrLVlQug0DWx2%2Bsra3t5Mrl%2FBqpPiRRS9k2u%2BI78eekwp%2B%2BMLRa%2FgHworyX%2Bk2mIluYxd1JbBZOtA1vlz5axBp6iBmrUDK98%2BNIsbvlRQXTCFQzVXShI2%2BTBTgkvXCRicyu%2F4jvAmw86Nks6Ne2STloTHcfLKHCHCmeHPFPghSALC0xPwujb8XF307mzk8WdV3O68egCmYGPrPQkgjf1OOsckocbh%2BoLNEoFNlyqCG3HIk7Mn%2FSUxeEjjEpnakMTony%2BNGcearClKD%2FHFiLSf5hojfQFb2xIEx7DmVc1qsCTuTGx179TxTO34hCV7rjESVJfp2F7uSUc46iw9XgnAlyWd18TZG9WoeALBxMDzLMbZKjRcpUoLPm3JWaK04wy3OX72l9CKg4jNXmHSAkkpVh9H6dlN9FwubHDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqn%2BMsNYGYkg2PHFTM0Sz%2BsvJwWbyaxiNxoiMIAcN0%2F%2Fgq0iKwC1aX0fkMZOKwqzbE1Pl%2FzE26%2Bg5xmWTKPBCI%2FiMHn7BDBNaqXNmoKbAeTMvcsf33X%2Fsot%2FZuTOA24QJjDOF6EdAl2%2BVnsOtH6pMsFjjd62FbFmsQI0sH0EQooKhj1h2YaATnrnV62zreoHn7jMOt1fIQnxwSiQG464QwceMj3Q8N1xEbFAB1tW6PzYq5ZXNrn8w4ERKVXvqwfL%2Bfq425rBSwiEB%2BtEwd6kRcljppipxBgGoNQnU4GSIVTkiBkjgRsr0EWsxI3LVMmCrf5BkIP4jPhdn9nnQsAGXdYNB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=18512707198&catId=50000825,62910원,패션의류,여성언더웨어/잠옷,브라팬티세트
200236,1,드림셰프 에코라믹 통주물 스톤 냄비 세트 4종,https://cr.shopping.naver.com/adcr.nhn?x=alolw4xiE8PytUvdAl3BO%2F%2F%2F%2Fw%3D%3DswODy3zSLthJ2MbpHSs4GBJaL0oHG23H5wFxLKoCKykLklV%2Fu7rcv1R9BIdFlG6AvAiKwpudDdcDMa6eihsJ8komOUTeEsGAjnscERqw9tHiIWc7CZdKgt6qVHWCcJOxvQq5hqybv%2BrnZ8dAm5kHFds2c7zFD6nEZpi2uXrdf8IAMrJM89ZAf%2BGwWnbKe4losQ%2BD%2Fo9glb0ukJK6bM8miKIqXqOCcxapZsvcpYf0UvB3jrz9YAg%2BUKeBQZx%2Bl4BahOCjdUpxC5Kh%2Fh4sAaCEfAAzq39oXwtGIVzOyhdZ%2B1waL2UAz6lC2I36qev%2F0Ec9ikY2IGqvC%2BoSRAQDv%2FRQsFvoNJuI2j7evPgFjugdVXco2zcrPUG7gcezJzKnaMfnmtD1hHNYFrgPAgWs2CKv52D3efC%2FEHBwxTE4aP%2FJOJ6AIRjR2%2BTltTD4baEUvQNrvLUXiCx5wBbAwISn6YXL7tqLj%2BvSXPWhKT0BbyrMWxS%2Bk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdMFDpL99FPJsdi6ncc1vk1xQvCL0vjT7BDyew%2BppTYv%2BO3WVzjHXoiXlVn3cCtM%2FfTAMCengjENbHONn1lu0Zh5LXcv9Az4Jm6rquko58j6DX1AGuIa%2FEL7xZDa2mv%2BlCphSzAyvxP6j6L1CuP3yzEzeznVkO92yQzRwYR8vbVnGdfDUuSEOzfFS4uSWulv%2B5xbhXf7jFNKLnRaivoq8r15PwCXFJiRdosf3os3K%2FWn1qS6Vui9v0cxBnass%2B0sTOBCgXuZ338lqyWkZv0Rg33gDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=12301839423&catId=50004546,53100원,생활/건강,주방용품,냄비/솥
201479,1,대사이즈 국내산 손질 갑오징어 1kg 냉동갑오징어,https://cr.shopping.naver.com/adcr.nhn?x=cVKDEDKc4l9uojjRQsB%2BYf%2F%2F%2Fw%3D%3Ds%2BRq%2F3yI1JH77tONdNd7MUQWa5%2BVI6E7tYo3%2BNAStKpQjxcVkRvbKVnH%2FrNMf8FRwlS9zG3U%2BG2RGUKhGMfbRCpe4W6s%2BjS2xUMvTPUwAhNo68f%2BZwFuE%2B0FFq2xjbqhlW%2BgLBsXTFTXF6EIikCHqgfbYizIoH%2BM8h6YqTKmnZa%2BsVE34szXIkCvvyTKOZB65Vq8WhBmKgdA0HOBXo0FYDg9yYxeBnJ%2FHxStkvsQuWfBloDiVrX1mgLtoKvpBGmbiM8OkYitpuK2na6nToNpF%2BLngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADI1OGNa00bWFDPN75inr9Be1XsEZR6I1jVFIQbtODe%2BagzE8KH0EbNb9%2Bmk7TzbRyg1xbgFNxkrbti6w1RkpZeI%2BP949KWc8%2FjwNgKD5U7p5LizlH2lBuZcpjRHCDndCzL8xuUSlaBEfvn9RC%2BHwud2efbeXYOCZSPbECAWSdMnY0pZRcl63IB6mWRl%2FNhblwhxJyilj49CnassbPQyRHfNeHzg%2FbXk2SAEM7ffCwosPC5PcsdixOKM84nfw%2BU7IK6SZpvzuZf6uRR0rkaJeZG1ouzgAPfqcLtV86X1i2QYnQEjL4c9gzr1oI2dYQD1%2FA%2By1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=81415583230&catId=50004710,17000원,식품,수산,해산물/어패류
202512,1,Shop+ 멋진밥상 흥양농협 햅쌀 20kg,https://cr.shopping.naver.com/adcr.nhn?x=uRI4qfctefxYKkIrbAXzgP%2F%2F%2Fw%3D%3DsSVoPSY2TJFFBvtV6o6w6zeyztgcT8wivuHXsPbnymZalQ8kq711arRthhV0b%2B4o1JVGloXNAo7XVIIhQWWkrY8NG7qcFHy5XRyEIiLfg%2BUTj85BSEPLQxiitghKHUsY8IcNp7WEopXQfF1RbLJCqj2jJ54g16j3HAwAzmwSudIgCP7usgvd6jOu6r29miRX1veomJzFhnpOCNk2RbAAcveSk6fbRq4o6QHYQXPMNqmaatZcacAyVCO2t7VMmyyGDzlod59N4mucmxS2THyEVdx4Rp8%2BUbujHXoR%2FotAIj3WQdUKj4D8jrxH6WSS64eIpXCfHqNeS%2FCsK14wzaEyrHXmHSAkkpVh9H6dlN9FwubHDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqiMFkmZjM9m5rtk5XvdYiNAWioNqsZUGnwmKOUlnOCKQdsaowBd%2Fsu2UdfobzHSM%2F17Groq7xkEzbK1SpDT78PdQvznKikGIBzSp61kXnEMxZTJhkvkpjxeoYnUsC%2BNNCyWPwUjj3GH1ZNlvzLG5oz7sgbd1CEKRK3GUfkPTQpR7bMfK1zH9m2cSLKEGiHGVFkHDrgeNl92zB0hCByWIKRTL07boOLwoxL6IajskM%2BfZdeoGa5LI45rp1zIgszIzqFCD8QeZrZYVp5N6cqpltEdoaKZHilHbuauHUigNM5KA&nvMid=21458410181&catId=50004749,54680원,식품,농산물,쌀
200197,1,비버리힐즈폴로클럽 블루 옴므 기초 3종 3개 세트,https://cr.shopping.naver.com/adcr.nhn?x=oBrY8%2B4LBoElmY1o9P9fKP%2F%2F%2Fw%3D%3DspJPEIs%2FekyxlkvB87AWHdvIX2F9eeqg0MlZGbewo%2FW2ga8prCg8vhkCFBBuddEA5YfVk7Ef%2FXG1P1NVhpMW5LavsX3I%2BedChODEXL9FBqF53a0AK0bdAL4E6Ml20TpLdTs5x3w10lrjPm6SdfjR3ZERC%2ByY5UiIICOsZXkRZqYGET6GFTyOFPOFtFz8ceueFuXRGe%2FClUNHdjzSBf7roNsi30QtKP1mA7BYZPpxeJLd%2BnFd3o8EC1CYE9Hv8wLXpCm8QUGZSAYUCY5%2BUlp%2F3WmSQldJaZQVcHppR7Tv9U4lE1vlcYF2q9gh2lFaJZz3EesIyUBs01wgCjOfl%2BS7YmJgy7aXGOojPm85GkFxnh%2FBh48Ki13TU3tZNGeFGxz0OHrP%2B%2FTqYPsQhvyTokrdk3H%2FUUwHypba3ZfspE9MEKR6YvfIXTaIxW%2Fq8dvmcVHPDvFC3R2ks7lT8E%2B4wqUEZnwmhDDIIvx%2FXjoWrnBrugfl2ZYwp03tlMEa2WIrDwA2ypfywfwxMVeOQFCfw5EeuXrilWcju3QWd%2FLzckd2Y%2Fuvffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeAQGxFoQlIPKuVF241vYK4KyGcbI%2BsIqpSN0OUJHcI3s5m%2FzZ4dXrpFXWdiQZEBf458tL3CXPvCwGeg%2FefDOL2%2BAb0bne3YA%2B9OGkhI%2F3xWf1dYI%2FXStRfJ1IO1YB0Svm2UWfvjURp9ahUPAhux0yBrCccdYPEkBMQNZk2inLF2q4WQemKp1DSSyKRDviVvgmhmMnoyJf0toruCdhimPNv9JVea0Be1gxXD3SadSm%2BEdEs8cFUTVf2EXpmSuc9bAhEbbEcFl4M4nyBtuRDBw%2FYU3jxATyH%2B4jHn73Z%2F6PkQzaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=11380263007&catId=50000334,32200원,화장품/미용,남성화장품,남성화장품세트
201892,1,푸마바디웨어 코웰패션닷컴 여성 에어 핏 서포트 브라팬티 14종 세트 AFYBSI51,https://cr.shopping.naver.com/adcr.nhn?x=jknX0YtvqmHTY%2BP7djOVsv%2F%2F%2Fw%3D%3DsKYzU3m6ONdj8L%2BchYGDIYvwQcxMAs3fDs9B1iNItlF7De%2FIWVyAyTH822KOs8d0I2TNtJGPAcijeP7oSlpFQ%2FAo8S%2BbhPXRjLKM4jJ8kaMKTvdrc9jC5iTiyZfakBwHRDp8uzsO%2F6O0nD4uUYKFe33ij%2BU66kXE0IHORA6hpZV5wrxBMzemv7jbi5m5mf3FrRsCh5GS%2BklokEzA%2FJ0VszxCGSQdcrj%2BZJHLmJxgT%2Fbt3a%2Ffg83643Zu0DacKQQJpottrynv0UW5Lt3RaEUEB80kE4QQLW9LC8de%2FvOIuv3VT1YZtpOCT6S%2FvjY4J05X4ReiFw83ovYNFzaLeUISd%2BJfiFRKEvdqUG7Gh07JtOJSVnR8bQA8XMFR3kzWrYnpBM%2FLC6xaC4vm0Vz6LPrMegsMANTv1YUrG%2B4dUbPr8XbMa3VZgChqKtWPVxfcGkuTySUZWKtMejyqSJA7Tdew4UlK9ndyXXFeclMW%2B8ssSi2QLsPSPjk6l81aP%2B6a1oWeTQ%2BD%2Fo9glb0ukJK6bM8miKArsK1DNlYuW6vX8WB7j4SkmT8oKbpCDiz0LiUKib2tcXV%2Fj15U%2BbyUTI3Yw4gFuMowhRxjYHTe%2FHuLFAiehCynEN9SXIjcGwRUSAFHULYY4PoVRGKE69U0rr5qui8URdg74qgB7NG4t0E5dHIX148b7A64rcTwOlLhf%2Bc6hLEYDRbqdHudFQYVFLQOldF4w%2B%2BEt5EGn4OXCKrJMHmzdyI2xUsQ27OkS1YwZ2Nv8AIv2nrGQWDC0O6EcaGXi9dHyglxnymBMau7huBRiFGHDzbGfsrbKUpfHM9jQwYFkg1ghX6Pgn27CBpguzcEuMcnbBXs3T4qzSBIVN2HAysFdoOTgrUtPLNVsZkDMT9Z%2FRVIXaFbg4NCn5%2BKBTrEnzwCW54KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=18228893453&catId=50000825,133400원,패션의류,여성언더웨어/잠옷,브라팬티세트
