지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2020-06-01 1:00,17.7,,0.3,,2.9,,290,,91,,18.4,16.2,1000.2,,1010.2,,,9.0,,,,10.0,9.0,StNs,3.0,1089,,1901.0,18.0,,21.1,22.5,21.8,21.9
108,서울,2020-06-01 2:00,17.5,,0.0,,3.2,,290,,91,,18.2,16.0,999.9,,1009.9,,,9.0,,,,10.0,9.0,StNs,4.0,1203,,1.0,17.8,,20.9,22.3,21.5,21.8
108,서울,2020-06-01 3:00,17.1,,,9.0,3.2,,290,,91,,17.7,15.6,999.7,,1009.7,,,9.0,,,,10.0,10.0,St,3.0,712,,19.0,17.5,,20.6,22.1,21.3,21.7
108,서울,2020-06-01 4:00,17.0,,0.0,,3.3,,290,,92,,17.7,15.6,999.8,,1009.8,,,9.0,,,,10.0,10.0,St,3.0,917,,1902.0,17.4,,20.4,21.9,21.0,21.6
108,서울,2020-06-01 5:00,16.9,,0.0,,3.4,,270,,93,,17.8,15.7,999.5,,1009.5,,,9.0,,,,10.0,10.0,St,2.0,712,,1902.0,17.3,,20.2,21.8,20.8,21.5
108,서울,2020-06-01 6:00,16.7,,0.1,,3.4,,290,,90,,17.0,15.0,999.8,,1009.8,,0.0,,0.04,,,4.0,4.0,Sc,5.0,1588,,1902.0,16.7,,19.9,21.6,20.6,21.4
108,서울,2020-06-01 7:00,16.9,,,9.0,2.3,,290,,86,,16.5,14.5,1000.0,,1010.0,,0.1,,0.32,,,8.0,8.0,Sc,5.0,1589,,,18.4,,19.8,21.4,20.4,21.3
108,서울,2020-06-01 8:00,17.8,,,9.0,3.3,,290,,80,,16.2,14.2,1000.2,,1010.2,,0.3,,0.85,,,7.0,7.0,Sc,5.0,1443,,,21.4,,20.1,21.3,20.4,21.2
108,서울,2020-06-01 9:00,19.3,,,9.0,2.1,,320,,73,,16.3,14.3,1000.2,,1010.1,,0.7,,1.71,,,2.0,2.0,Sc,13.0,1849,,,27.6,,21.0,21.2,20.8,21.1
108,서울,2020-06-01 10:00,20.5,,,9.0,3.4,,270,,62,,14.9,12.9,999.9,,1009.8,,1.0,,2.65,,,1.0,1.0,Sc,12.0,1855,,,31.1,,22.5,21.2,21.5,21.0
