period,delivery,year,mth,day
2019-01-01,3.0452,2019,1,1
2019-01-02,8.07624,2019,1,2
2019-01-03,10.16867,2019,1,3
2019-01-04,9.24673,2019,1,4
2019-01-05,5.14001,2019,1,5
2019-01-06,1.68906,2019,1,6
2019-01-07,6.53437,2019,1,7
2019-01-08,10.03716,2019,1,8
2019-01-09,8.6105,2019,1,9
2019-01-10,7.63896,2019,1,10
2019-01-11,7.20368,2019,1,11
2019-01-12,4.13356,2019,1,12
2019-01-13,1.51164,2019,1,13
2019-01-14,6.23375,2019,1,14
2019-01-15,9.7277,2019,1,15
2019-01-16,8.3884,2019,1,16
2019-01-17,7.5216,2019,1,17
2019-01-18,7.26728,2019,1,18
2019-01-19,4.20446,2019,1,19
2019-01-20,1.57408,2019,1,20
2019-01-21,6.22199,2019,1,21
2019-01-22,10.17205,2019,1,22
2019-01-23,8.82137,2019,1,23
2019-01-24,8.26327,2019,1,24
2019-01-25,8.23813,2019,1,25
2019-01-26,5.08925,2019,1,26
2019-01-27,1.92208,2019,1,27
2019-01-28,6.94828,2019,1,28
2019-01-29,12.05646,2019,1,29
2019-01-30,12.50489,2019,1,30
2019-01-31,10.24127,2019,1,31
2019-02-01,5.74564,2019,2,1
2019-02-02,2.31491,2019,2,2
2019-02-03,0.88863,2019,2,3
2019-02-04,0.6866,2019,2,4
2019-02-05,0.66268,2019,2,5
2019-02-06,1.48957,2019,2,6
2019-02-07,7.79431,2019,2,7
2019-02-08,40.23488,2019,2,8
2019-02-09,10.9724,2019,2,9
2019-02-10,2.8687,2019,2,10
2019-02-11,9.26681,2019,2,11
2019-02-12,13.51403,2019,2,12
2019-02-13,11.46306,2019,2,13
2019-02-14,9.43654,2019,2,14
2019-02-15,8.13307,2019,2,15
2019-02-16,4.78263,2019,2,16
2019-02-17,1.77288,2019,2,17
2019-02-18,6.67488,2019,2,18
2019-02-19,10.59842,2019,2,19
2019-02-20,8.71986,2019,2,20
2019-02-21,7.74494,2019,2,21
2019-02-22,7.15392,2019,2,22
2019-02-23,4.28598,2019,2,23
2019-02-24,1.61523,2019,2,24
2019-02-25,6.34342,2019,2,25
2019-02-26,10.03962,2019,2,26
2019-02-27,9.21451,2019,2,27
2019-02-28,8.30703,2019,2,28
2019-03-01,5.17662,2019,3,1
2019-03-02,5.17885,2019,3,2
2019-03-03,2.15295,2019,3,3
2019-03-04,7.2136,2019,3,4
2019-03-05,12.54265,2019,3,5
2019-03-06,11.96209,2019,3,6
2019-03-07,9.80053,2019,3,7
2019-03-08,8.41678,2019,3,8
2019-03-09,5.03058,2019,3,9
2019-03-10,1.75174,2019,3,10
2019-03-11,6.28536,2019,3,11
2019-03-12,9.9538,2019,3,12
2019-03-13,8.67518,2019,3,13
2019-03-14,7.57944,2019,3,14
2019-03-15,6.76124,2019,3,15
2019-03-16,4.05235,2019,3,16
2019-03-17,1.47965,2019,3,17
2019-03-18,5.79709,2019,3,18
2019-03-19,8.90781,2019,3,19
2019-03-20,7.41224,2019,3,20
2019-03-21,6.6355,2019,3,21
2019-03-22,6.37649,2019,3,22
2019-03-23,3.91422,2019,3,23
2019-03-24,1.40589,2019,3,24
2019-03-25,5.55222,2019,3,25
2019-03-26,8.5662,2019,3,26
2019-03-27,7.23421,2019,3,27
2019-03-28,6.4234,2019,3,28
2019-03-29,6.09802,2019,3,29
2019-03-30,3.66082,2019,3,30
2019-03-31,1.33176,2019,3,31
2019-04-01,5.14647,2019,4,1
2019-04-02,8.37686,2019,4,2
2019-04-03,7.44493,2019,4,3
2019-04-04,6.75855,2019,4,4
2019-04-05,6.3498,2019,4,5
2019-04-06,3.69005,2019,4,6
2019-04-07,1.31684,2019,4,7
2019-04-08,5.17362,2019,4,8
2019-04-09,7.80369,2019,4,9
2019-04-10,6.73033,2019,4,10
2019-04-11,6.42855,2019,4,11
2019-04-12,6.23521,2019,4,12
2019-04-13,3.99336,2019,4,13
2019-04-14,1.41474,2019,4,14
2019-04-15,5.39318,2019,4,15
2019-04-16,7.90167,2019,4,16
2019-04-17,6.71933,2019,4,17
2019-04-18,5.98712,2019,4,18
2019-04-19,5.53923,2019,4,19
2019-04-20,3.28822,2019,4,20
2019-04-21,1.25101,2019,4,21
2019-04-22,4.87123,2019,4,22
2019-04-23,7.60758,2019,4,23
2019-04-24,6.38433,2019,4,24
2019-04-25,5.71549,2019,4,25
2019-04-26,5.36796,2019,4,26
2019-04-27,3.12164,2019,4,27
2019-04-28,1.37713,2019,4,28
2019-04-29,5.2403,2019,4,29
2019-04-30,7.99688,2019,4,30
2019-05-01,5.38749,2019,5,1
2019-05-02,5.37342,2019,5,2
2019-05-03,7.29043,2019,5,3
2019-05-04,4.0908,2019,5,4
2019-05-05,1.15234,2019,5,5
2019-05-06,2.09773,2019,5,6
2019-05-07,6.26136,2019,5,7
2019-05-08,10.51305,2019,5,8
2019-05-09,8.54382,2019,5,9
2019-05-10,6.49062,2019,5,10
2019-05-11,3.53255,2019,5,11
2019-05-12,1.30407,2019,5,12
2019-05-13,5.32235,2019,5,13
2019-05-14,8.2472,2019,5,14
2019-05-15,7.0271,2019,5,15
2019-05-16,6.0651,2019,5,16
2019-05-17,5.68127,2019,5,17
2019-05-18,3.36689,2019,5,18
2019-05-19,1.24485,2019,5,19
2019-05-20,4.91214,2019,5,20
2019-05-21,7.60835,2019,5,21
2019-05-22,6.68795,2019,5,22
2019-05-23,5.84377,2019,5,23
2019-05-24,5.41079,2019,5,24
2019-05-25,3.11741,2019,5,25
2019-05-26,1.15565,2019,5,26
2019-05-27,4.61598,2019,5,27
2019-05-28,7.10701,2019,5,28
2019-05-29,6.40464,2019,5,29
2019-05-30,5.42048,2019,5,30
2019-05-31,4.96436,2019,5,31
2019-06-01,2.82656,2019,6,1
2019-06-02,1.11373,2019,6,2
2019-06-03,4.58368,2019,6,3
2019-06-04,7.67964,2019,6,4
2019-06-05,6.7241,2019,6,5
2019-06-06,3.51186,2019,6,6
2019-06-07,6.8493,2019,6,7
2019-06-08,5.61221,2019,6,8
2019-06-09,1.44458,2019,6,9
2019-06-10,5.15562,2019,6,10
2019-06-11,7.72809,2019,6,11
2019-06-12,6.43855,2019,6,12
2019-06-13,5.86553,2019,6,13
2019-06-14,5.46878,2019,6,14
2019-06-15,3.25953,2019,6,15
2019-06-16,1.17356,2019,6,16
2019-06-17,4.84001,2019,6,17
2019-06-18,7.43547,2019,6,18
2019-06-19,6.39041,2019,6,19
2019-06-20,5.80009,2019,6,20
2019-06-21,5.53746,2019,6,21
2019-06-22,3.23369,2019,6,22
2019-06-23,1.17995,2019,6,23
2019-06-24,4.71242,2019,6,24
2019-06-25,7.469,2019,6,25
2019-06-26,6.55475,2019,6,26
2019-06-27,5.85169,2019,6,27
2019-06-28,5.4694,2019,6,28
2019-06-29,3.20047,2019,6,29
2019-06-30,1.2001,2019,6,30
2019-07-01,4.84024,2019,7,1
2019-07-02,7.75762,2019,7,2
2019-07-03,7.0531,2019,7,3
2019-07-04,6.38141,2019,7,4
2019-07-05,6.00165,2019,7,5
2019-07-06,3.68443,2019,7,6
2019-07-07,1.23047,2019,7,7
2019-07-08,5.24576,2019,7,8
2019-07-09,7.51822,2019,7,9
2019-07-10,6.20991,2019,7,10
2019-07-11,5.71134,2019,7,11
2019-07-12,5.59467,2019,7,12
2019-07-13,3.44534,2019,7,13
2019-07-14,1.22717,2019,7,14
2019-07-15,4.87454,2019,7,15
2019-07-16,7.99572,2019,7,16
2019-07-17,6.82723,2019,7,17
2019-07-18,5.99027,2019,7,18
2019-07-19,5.6765,2019,7,19
2019-07-20,3.39012,2019,7,20
2019-07-21,1.17802,2019,7,21
2019-07-22,4.86362,2019,7,22
2019-07-23,8.29481,2019,7,23
2019-07-24,7.14477,2019,7,24
2019-07-25,6.3102,2019,7,25
2019-07-26,5.85184,2019,7,26
2019-07-27,3.47471,2019,7,27
2019-07-28,1.17802,2019,7,28
2019-07-29,4.83224,2019,7,29
2019-07-30,7.76939,2019,7,30
