date,temp_daegu,maxtemp_daegu,mintemp_daegu,dailycross_daegu,precip_daegu,humid_daegu,cloud_daegu,temp_incheon,maxtemp_incheon,mintemp_incheon,dailycross_incheon,precip_incheon,humid_incheon,cloud_incheon,temp_gwangju,maxtemp_gwangju,mintemp_gwangju,dailycross_gwangju,precip_gwangju,humid_gwangju,cloud_gwangju,temp_daejeon,maxtemp_daejeon,mintemp_daejeon,dailycross_daejeon,precip_daejeon,humid_daejeon,cloud_daejeon,temp_busan,maxtemp_busan,mintemp_busan,dailycross_busan,precip_busan,humid_busan,cloud_busan,temp_seoul,maxtemp_seoul,mintemp_seoul,dailycross_seoul,precip_seoul,humid_seoul,cloud_seoul,finedust
2020-06-01,23.6,29.1,19.9,9.2,0.0,48,3.9,17.4,20.3,14.6,5.7,0.4,78,4.9,21.1,26.1,17.5,8.6,0.0,64,4.0,21.1,26.5,16.3,10.2,0.6,60,4.2,22.0,25.5,18.3,7.2,0.0,67,5.0,19.7,24.5,16.6,7.9,0.4,64,3.8,19
2020-06-02,22.5,29.3,15.0,14.3,0.0,42,5.9,16.8,21.8,13.9,7.9,2.7,78,9.1,21.3,27.8,14.2,13.6,0.0,61,5.2,20.1,23.2,15.0,8.2,0.0,60,9.1,21.1,25.1,18.0,7.1,0.0,51,3.1,17.9,21.8,14.8,7.0,2.0,71,9.2,24
2020-06-03,24.1,31.1,17.2,13.9,0.0,57,5.2,20.1,24.3,16.7,7.6,0.0,82,6.9,22.7,28.0,18.3,9.7,0.0,83,8.2,23.3,28.8,19.3,9.5,0.0,75,7.8,21.3,25.7,18.6,7.1,0.0,81,7.2,21.9,28.4,17.6,10.8,0.0,73,5.8,46
2020-06-04,27.7,35.3,19.6,15.7,0.0,57,0.8,19.0,21.4,17.9,3.5,0.9,92,9.8,24.9,31.4,20.2,11.2,0.0,73,4.2,25.3,30.9,21.9,9.0,0.0,72,4.5,22.9,26.6,20.3,6.3,0.0,78,5.5,21.9,26.5,19.7,6.8,0.2,81,8.4,49
2020-06-05,25.9,34.6,19.8,14.8,0.0,61,5.0,20.2,24.4,17.3,7.1,0.0,80,6.0,25.0,32.8,20.2,12.6,0.0,79,6.8,25.4,30.8,22.0,8.8,0.0,73,7.2,22.0,27.0,18.4,8.6,0.0,80,5.6,23.0,28.7,18.4,10.3,0.0,69,5.5,46
2020-06-06,21.2,26.3,18.4,7.9,0.0,66,6.5,21.8,27.3,17.4,9.9,0.0,74,1.6,24.0,30.4,20.6,9.8,0.2,84,7.5,24.6,31.3,20.0,11.3,3.4,75,5.2,21.0,26.6,17.7,8.9,0.0,69,7.2,24.6,30.9,19.2,11.7,0.0,64,2.2,55
2020-06-07,23.5,31.3,16.2,15.1,0.0,54,2.1,19.8,23.9,16.4,7.5,0.0,80,5.1,24.3,30.9,19.8,11.1,0.0,71,3.8,24.0,30.1,20.3,9.8,0.0,73,3.5,21.5,24.6,17.8,6.8,0.0,50,1.2,22.7,29.2,19.2,10.0,0.0,69,3.2,49
2020-06-08,26.9,35.6,17.4,18.2,0.0,47,0.0,22.8,27.9,18.0,9.9,0.0,68,2.8,26.0,33.7,19.5,14.2,0.0,59,0.0,26.2,32.7,19.4,13.3,0.0,62,1.5,23.3,28.0,18.0,10.0,0.0,41,0.0,25.0,32.0,19.8,12.2,0.0,64,3.0,42
2020-06-09,28.7,37.0,21.0,16.0,0.0,46,0.9,24.6,30.4,19.6,10.8,0.0,55,4.0,26.7,33.4,19.8,13.6,0.0,56,2.9,27.3,34.3,20.3,14.0,0.0,59,2.4,24.0,29.4,18.6,10.8,0.0,50,0.0,26.7,32.8,20.3,12.5,0.0,52,3.0,48
2020-06-10,28.1,36.1,21.3,14.8,0.1,55,6.5,24.1,29.3,20.6,8.7,9.4,69,9.0,24.9,32.1,21.4,10.7,3.5,77,6.5,26.1,34.2,21.6,12.6,58.7,73,7.9,24.7,28.9,20.9,8.0,0.0,68,4.2,25.8,32.1,22.5,9.6,6.2,64,9.0,44
